student_id,name,department,age,attendance_%,math_score,science_score,english_score,internship,cgpa,avg_score,grade
S1000,Student_0,ECE,23.0,87.85354603823129,51.0,92.0,92.0,Yes,7.1,78.33,B
S1001,Student_1,CSE,19.0,58.621717535414426,51.0,,67.0,Yes,5.05,59.0,C
S1002,Student_2,CIVIL,18.0,67.31320894490807,58.0,97.0,48.0,Yes,,67.67,C
S1003,Student_3,MECH,18.0,40.697232394486036,42.0,53.0,68.0,Yes,8.66,54.33,D
S1004,Student_4,CSE,24.0,44.34681326767353,31.0,83.0,95.0,Yes,9.73,69.67,C
S1005,Student_5,CSE,21.0,63.549613384401084,58.0,71.0,38.0,Yes,8.91,55.67,C
S1006,Student_6,CSE,20.0,68.79633008302741,81.0,41.0,93.0,Yes,,71.67,B
S1007,Student_7,IT,21.0,76.00123288715822,56.0,46.0,63.0,,6.24,55.0,D
S1008,Student_8,CIVIL,21.0,57.499754722558194,79.0,92.0,40.0,Yes,0.0,70.33,B
S1009,Student_9,CIVIL,21.0,81.69891316759255,52.0,93.0,83.0,,6.82,76.0,B
S1010,Student_10,CSE,21.0,91.60734383135227,73.0,61.0,,,7.83,67.0,C
S1011,Student_11,CSE,22.0,86.791059333601,51.0,73.0,99.0,Yes,5.03,74.33,B
S1012,Student_12,IT,,42.37712952090143,72.0,37.0,61.0,No,5.31,56.67,C
S1013,Student_13,CSE,24.0,,66.0,58.0,40.0,No,7.68,54.67,D
S1014,Student_14,CSE,19.0,46.29581070509049,90.0,77.0,47.0,Yes,7.83,71.33,B
S1015,Student_15,CSE,18.0,54.522700951751645,,75.0,98.0,Yes,8.76,86.5,A
S1016,Student_16,ECE,21.0,99.19975559602878,32.0,27.0,96.0,No,5.66,51.67,D
S1017,Student_17,MECH,24.0,48.5497325740908,92.0,66.0,53.0,Yes,7.57,70.33,B
S1018,Student_18,MECH,19.0,69.93328920708137,48.0,56.0,77.0,Yes,5.97,60.33,C
S1019,Student_19,ECE,18.0,77.08934405908715,52.0,75.0,54.0,,5.47,60.33,C
S1020,Student_20,CIVIL,23.0,82.14789823264624,58.0,70.0,78.0,Yes,7.05,68.67,C
S1021,Student_21,CSE,20.0,73.57892100921484,59.0,45.0,57.0,Yes,5.82,53.67,D
S1022,Student_22,ECE,22.0,40.58625084515102,68.0,68.0,36.0,Yes,6.11,57.33,C
S1023,Student_23,ECE,23.0,59.58767849463951,54.0,35.0,56.0,Yes,6.59,48.33,D
S1024,Student_24,MECH,18.0,71.06269860308268,37.0,92.0,91.0,No,6.3,73.33,B
S1025,Student_25,IT,23.0,45.27198994869,87.0,25.0,41.0,Yes,,51.0,D
S1026,Student_26,CSE,20.0,61.037615872550845,45.0,87.0,90.0,Yes,5.45,74.0,B
S1027,Student_27,MECH,24.0,41.99218652748199,30.0,48.0,50.0,Yes,5.97,42.67,D
S1028,Student_28,MECH,18.0,44.71470982930124,34.0,37.0,85.0,Yes,5.25,52.0,D
S1029,Student_29,CSE,23.0,63.815396572095764,32.0,35.0,46.0,,8.13,37.67,F
S1030,Student_30,CIVIL,22.0,47.96294524258362,94.0,75.0,87.0,Yes,6.44,85.33,A
S1031,Student_31,CSE,22.0,74.05245089569348,33.0,41.0,39.0,Yes,6.4,37.67,F
S1032,Student_32,CSE,,81.36789814823595,93.0,48.0,61.0,No,6.66,67.33,C
S1033,Student_33,CSE,23.0,88.03520194654497,39.0,43.0,46.0,Yes,8.31,42.67,D
S1034,Student_34,CSE,21.0,52.009014654688606,50.0,61.0,51.0,,9.35,54.0,D
S1035,Student_35,IT,23.0,50.04895493554419,75.0,32.0,40.0,Yes,8.8,49.0,D
S1036,Student_36,ECE,24.0,46.274070420064014,56.0,52.0,39.0,Yes,8.64,49.0,D
S1037,Student_37,CSE,18.0,78.1858149726182,95.0,29.0,91.0,,7.42,71.67,B
S1038,Student_38,CIVIL,18.0,82.38854358921407,70.0,41.0,62.0,Yes,8.47,57.67,C
S1039,Student_39,MECH,24.0,41.89516868953852,42.0,60.0,93.0,Yes,7.76,65.0,C
S1040,Student_40,CSE,23.0,96.17273477462139,38.0,43.0,67.0,Yes,6.08,49.33,D
S1041,Student_41,MECH,24.0,43.118277019088346,65.0,88.0,96.0,No,6.04,83.0,B
S1042,Student_42,CSE,20.0,72.47778011806423,87.0,35.0,84.0,Yes,6.48,68.67,C
S1043,Student_43,,24.0,82.54363116705498,83.0,78.0,53.0,No,9.55,71.33,B
S1044,Student_44,ECE,22.0,92.25814742476513,41.0,69.0,100.0,Yes,7.74,70.0,C
S1045,Student_45,CIVIL,24.0,82.84521592794567,43.0,71.0,81.0,Yes,8.67,65.0,C
S1046,Student_46,ECE,18.0,88.10368498418751,63.0,36.0,73.0,No,6.73,57.33,C
S1047,Student_47,MECH,22.0,60.367011552568364,82.0,45.0,67.0,Yes,7.04,64.67,C
S1048,Student_48,MECH,18.0,88.88950682479074,49.0,35.0,47.0,No,5.63,43.67,D
S1049,Student_49,CSE,19.0,44.806890783080505,45.0,29.0,88.0,No,5.86,54.0,D
S1050,Student_50,CSE,21.0,93.68899936363167,99.0,80.0,41.0,No,9.14,73.33,B
S1051,Student_51,IT,18.0,72.85554256922418,85.0,44.0,48.0,Yes,7.92,59.0,C
S1052,Student_52,CSE,22.0,,87.0,,53.0,Yes,6.69,70.0,C
S1053,Student_53,,19.0,67.139097071098,33.0,70.0,88.0,,9.01,63.67,C
S1054,Student_54,MECH,18.0,78.6146617117915,33.0,36.0,54.0,No,6.23,41.0,D
S1055,Student_55,,20.0,71.58415965616679,49.0,94.0,63.0,No,9.88,68.67,C
S1056,Student_56,CSE,,83.89537130531991,39.0,41.0,58.0,,6.72,46.0,D
S1057,Student_57,CSE,21.0,44.897798921835374,53.0,43.0,97.0,,6.69,64.33,C
S1058,Student_58,CSE,18.0,,55.0,50.0,91.0,Yes,,65.33,C
S1059,Student_59,ECE,19.0,54.82619404060878,66.0,72.0,42.0,No,5.61,60.0,C
S1060,Student_60,ECE,20.0,49.5726808067913,83.0,76.0,96.0,,5.56,85.0,B
S1061,Student_61,ECE,23.0,92.3070139955321,50.0,94.0,63.0,Yes,8.24,69.0,C
S1062,Student_62,IT,19.0,53.15283924148266,67.0,79.0,51.0,No,9.38,65.67,C
S1063,Student_63,ECE,24.0,98.55191534914788,75.0,99.0,100.0,,8.95,91.33,A
S1064,Student_64,ECE,19.0,60.213747506266415,33.0,57.0,40.0,Yes,5.71,43.33,D
S1065,Student_65,MECH,20.0,50.927074941321955,89.0,86.0,92.0,Yes,7.73,89.0,A
S1066,Student_66,CSE,19.0,87.38191042854875,86.0,47.0,62.0,Yes,,65.0,C
S1067,Student_67,IT,20.0,79.52246653005257,74.0,39.0,96.0,Yes,5.23,69.67,C
S1068,Student_68,CSE,18.0,69.89174298718834,49.0,51.0,75.0,Yes,8.28,58.33,C
S1069,Student_69,ECE,20.0,,46.0,99.0,75.0,Yes,7.68,73.33,B
S1070,Student_70,IT,20.0,83.15210669633584,100.0,88.0,83.0,Yes,5.41,90.33,A
S1071,Student_71,CSE,,53.70728447987793,33.0,75.0,83.0,No,,63.67,C
S1072,Student_72,CSE,20.0,99.78003496340452,43.0,77.0,37.0,Yes,9.95,52.33,D
S1073,Student_73,IT,20.0,98.487589728807,32.0,,44.0,No,5.15,38.0,F
S1074,Student_74,CIVIL,23.0,79.01954118081622,87.0,71.0,69.0,No,7.22,75.67,B
